10  !No of Header lines including this one    
c                  
c  spectral base: SPECTRA bands          
c                  
c  This file contains PROSPECT absorption coefficients that are constant
c  modified from Baret COEFSPE.XLS Kw water changed    
c                  
c  Wavel.  Refr.index  Kdm  Kab  Kw  Ks  H2O_refr  H2O_abko  
c  nm  leaf  dry  matter  Chlorohyll  Water  senescense    
c                  
201  !  number  of  spectral  bands        
1.170  1.41042    2.88378  0.00000  1.44001  0.00000  1.32605   1.44001
1.180  1.40936    3.10630  0.00000  1.46925  0.00000  1.32571   1.46925
1.190  1.40831    3.14928  0.00000  1.48372  0.00000  1.32507   1.48372
1.200  1.40730    3.12783  0.00000  1.48690  0.00000  1.32493   1.48690
1.210  1.40629    3.07572  0.00000  1.47535  0.00000  1.32502   1.47535
1.220  1.40524    2.94787  0.00000  1.44925  0.00000  1.32500   1.44925
1.230  1.40417    2.83460  0.00000  1.41297  0.00000  1.32498   1.41297
1.240  1.40311    2.76341  0.00000  1.36951  0.00000  1.32505   1.36951
1.250  1.40205    2.69935  0.00000  1.32392  0.00000  1.32494   1.32392
1.260  1.40100    2.71176  0.00000  1.28840  0.00000  1.32437   1.28840
1.270  1.39994    2.68448  0.00000  1.28575  0.00000  1.32396   1.28575
1.280  1.39887    2.57597  0.00000  1.33486  0.00000  1.32397   1.33486
1.290  1.39781    2.52979  0.00000  1.44353  0.00000  1.32400   1.44353
1.300  1.39680    2.53186  0.00000  1.61242  0.00000  1.32402   1.61242
1.310  1.39579    2.51269  0.00000  1.82835  0.00000  1.32406   1.82835
1.320  1.39474    2.49786  0.00000  2.07324  0.00000  1.32377   2.07324
1.330  1.39370    2.50424  0.00000  2.47817  0.00000  1.32319   2.47817
1.340  1.39269    2.56512  0.00000  3.27305  0.00000  1.32290   3.27305
1.350  1.39171    2.67915  0.00000  4.32477  0.00000  1.32298   4.32477
1.360  1.39070    2.82728  0.00000  5.31664  0.00000  1.32311   5.31664
1.370  1.38965    2.96559  0.00000  6.18296  0.00000  1.32296   6.18296
1.380  1.38859    3.05050  0.00000  7.46577  0.00000  1.32245   7.46577
1.390  1.38753    3.14580  0.00000 10.77665  0.00000  1.32203  10.77665
1.400  1.38646    3.31173  0.00000 16.50252  0.00000  1.32200  16.50252
1.410  1.38533    3.73228  0.00000 22.34003  0.00000  1.32190  22.34003
1.420  1.38413    4.50499  0.00000 26.49219  0.00000  1.32144  26.49219
1.430  1.38287    5.43659  0.00000 28.66118  0.00000  1.32102  28.66118
1.440  1.38159    6.19157  0.00000 29.18123  0.00000  1.32097  29.18123
1.450  1.38025    6.62080  0.00000 28.93767  0.00000  1.32110  28.93767
1.460  1.37883    6.85141  0.00000 28.27496  0.00000  1.32117  28.27496
1.470  1.37734    6.97290  0.00000 27.00626  0.00000  1.32100  27.00626
1.480  1.37580    6.99866  0.00000 24.98048  0.00000  1.32056  24.98048
1.490  1.37422    7.07087  0.00000 22.42515  0.00000  1.32012  22.42515
1.500  1.37260    7.11862  0.00000 19.78226  0.00000  1.31999  19.78226
1.510  1.37096    7.04083  0.00000 17.38490  0.00000  1.32002  17.38490
1.520  1.36935    6.92889  0.00000 15.43757  0.00000  1.31981  15.43757
1.530  1.36776    6.77635  0.00000 13.96119  0.00000  1.31934  13.96119
1.540  1.36613    6.65959  0.00000 12.78390  0.00000  1.31900  12.78390
1.550  1.36447    6.63278  0.00000 11.75747  0.00000  1.31899  11.75747
1.560  1.36282    6.58679  0.00000 10.85197  0.00000  1.31901  10.85197
1.570  1.36117    6.54295  0.00000 10.06645  0.00000  1.31874  10.06645
1.580  1.35953    6.53670  0.00000  9.38323  0.00000  1.31828   9.38323
1.590  1.35793    6.48665  0.00000  8.77322  0.00000  1.31798   8.77322
1.600  1.35633    6.34468  0.00000  8.22370  0.00000  1.31796   8.22370
1.610  1.35469    6.15786  0.00000  7.74882  0.00000  1.31800   7.74882
1.620  1.35306    5.98510  0.00000  7.36399  0.00000  1.31782   7.36399
1.630  1.35147    5.86870  0.00000  7.06196  0.00000  1.31742   7.06196
1.640  1.34993    5.78878  0.00000  6.81972  0.00000  1.31696   6.81972
1.650  1.34840    5.78895  0.00000  6.62105  0.00000  1.31657   6.62105
1.660  1.34687    5.93205  0.00000  6.46812  0.00000  1.31623   6.46812
1.670  1.34535    6.23781  0.00000  6.36897  0.00000  1.31590   6.36897
