Soil code          1
Hapke_b         0.84
Hapke_c         0.68
Hapke_B0        0.30
Hapke_h         0.23
SM%              5.0
Cab_green       70.0
Cw_green       0.008
Cdm_green      0.003
Cs_green        0.05
N_green        1.500
Cab_brown        5.0
Cw_brown       0.001
Cdm_brown      0.005
Cs_brown        1.00
N_brown        2.000
LAI             1.00
LIDF a         -0.35
LIDF b         -0.15
hot             0.05
fB              0.00
D               0.80
Cv%             100.
zeta            0.50
sza             30.0
azi              0.0

          wavelengths in micron:
   vza   0.450	0.550	0.650	0.750	0.850	
 -89.0   0.0267	0.0840	0.0313	0.4969	0.5601	
 -88.0   0.0265	0.0833	0.0311	0.4999	0.5644	
 -87.0   0.0264	0.0829	0.0310	0.5033	0.5692	
 -86.0   0.0263	0.0827	0.0311	0.5068	0.5739	
 -85.0   0.0266	0.0829	0.0317	0.5102	0.5784	
 -84.0   0.0272	0.0836	0.0330	0.5135	0.5827	
 -83.0   0.0282	0.0849	0.0351	0.5165	0.5866	
 -82.0   0.0297	0.0866	0.0379	0.5193	0.5902	
 -81.0   0.0314	0.0888	0.0414	0.5219	0.5935	
 -80.0   0.0334	0.0913	0.0454	0.5242	0.5964	
 -79.0   0.0356	0.0940	0.0497	0.5264	0.5991	
 -78.0   0.0379	0.0969	0.0543	0.5284	0.6016	
 -77.0   0.0403	0.0999	0.0590	0.5303	0.6038	
 -76.0   0.0428	0.1030	0.0638	0.5320	0.6059	
 -75.0   0.0452	0.1060	0.0685	0.5336	0.6078	
 -74.0   0.0476	0.1091	0.0733	0.5351	0.6096	
 -73.0   0.0500	0.1120	0.0779	0.5366	0.6113	
 -72.0   0.0523	0.1150	0.0825	0.5379	0.6128	
 -71.0   0.0546	0.1179	0.0870	0.5392	0.6143	
 -70.0   0.0569	0.1207	0.0914	0.5403	0.6156	
 -69.0   0.0590	0.1234	0.0956	0.5415	0.6169	
 -68.0   0.0611	0.1260	0.0997	0.5425	0.6181	
 -67.0   0.0632	0.1286	0.1037	0.5436	0.6193	
 -66.0   0.0651	0.1311	0.1075	0.5445	0.6204	
 -65.0   0.0670	0.1335	0.1112	0.5455	0.6214	
 -64.0   0.0689	0.1358	0.1148	0.5464	0.6224	
 -63.0   0.0706	0.1380	0.1183	0.5473	0.6234	
 -62.0   0.0723	0.1402	0.1216	0.5481	0.6243	
 -61.0   0.0740	0.1423	0.1248	0.5489	0.6252	
 -60.0   0.0756	0.1443	0.1280	0.5497	0.6260	
 -59.0   0.0772	0.1463	0.1310	0.5505	0.6269	
 -58.0   0.0787	0.1482	0.1339	0.5512	0.6277	
 -57.0   0.0801	0.1501	0.1368	0.5520	0.6285	
 -56.0   0.0815	0.1519	0.1395	0.5527	0.6293	
 -55.0   0.0829	0.1536	0.1422	0.5535	0.6301	
 -54.0   0.0842	0.1553	0.1447	0.5542	0.6309	
 -53.0   0.0855	0.1569	0.1472	0.5549	0.6317	
 -52.0   0.0867	0.1585	0.1497	0.5556	0.6324	
 -51.0   0.0880	0.1601	0.1521	0.5564	0.6332	
 -50.0   0.0892	0.1617	0.1544	0.5572	0.6341	
 -49.0   0.0903	0.1632	0.1567	0.5579	0.6349	
 -48.0   0.0915	0.1647	0.1589	0.5588	0.6358	
 -47.0   0.0926	0.1662	0.1612	0.5596	0.6367	
 -46.0   0.0938	0.1677	0.1634	0.5606	0.6377	
 -45.0   0.0949	0.1692	0.1655	0.5615	0.6388	
 -44.0   0.0960	0.1707	0.1677	0.5626	0.6399	
 -43.0   0.0972	0.1722	0.1699	0.5638	0.6412	
 -42.0   0.0984	0.1738	0.1722	0.5651	0.6426	
 -41.0   0.0996	0.1755	0.1745	0.5667	0.6443	
 -40.0   0.1009	0.1773	0.1770	0.5685	0.6462	
 -39.0   0.1024	0.1793	0.1797	0.5706	0.6485	
 -38.0   0.1040	0.1816	0.1827	0.5733	0.6514	
 -37.0   0.1058	0.1842	0.1861	0.5766	0.6549	
 -36.0   0.1080	0.1874	0.1902	0.5809	0.6596	
 -35.0   0.1108	0.1914	0.1954	0.5867	0.6658	
 -34.0   0.1145	0.1968	0.2022	0.5949	0.6746	
 -33.0   0.1199	0.2047	0.2119	0.6071	0.6878	
 -32.0   0.1282	0.2168	0.2271	0.6264	0.7085	
 -31.0   0.1421	0.2373	0.2525	0.6590	0.7436	
 -30.0   0.1682	0.2754	0.3000	0.7197	0.8091	
 -29.0   0.1430	0.2383	0.2544	0.6583	0.7429	
 -28.0   0.1301	0.2190	0.2310	0.6254	0.7075	
 -27.0   0.1227	0.2080	0.2179	0.6059	0.6865	
 -26.0   0.1183	0.2011	0.2099	0.5933	0.6730	
 -25.0   0.1154	0.1967	0.2048	0.5847	0.6637	
 -24.0   0.1134	0.1936	0.2014	0.5784	0.6569	
 -23.0   0.1120	0.1913	0.1990	0.5736	0.6518	
 -22.0   0.1110	0.1897	0.1974	0.5698	0.6477	
 -21.0   0.1103	0.1884	0.1961	0.5667	0.6444	
 -20.0   0.1097	0.1874	0.1953	0.5641	0.6416	
 -19.0   0.1093	0.1867	0.1946	0.5619	0.6393	
 -18.0   0.1089	0.1860	0.1941	0.5600	0.6372	
 -17.0   0.1087	0.1855	0.1937	0.5583	0.6354	
 -16.0   0.1084	0.1850	0.1934	0.5567	0.6337	
 -15.0   0.1082	0.1846	0.1931	0.5552	0.6321	
 -14.0   0.1080	0.1842	0.1928	0.5538	0.6306	
 -13.0   0.1078	0.1838	0.1926	0.5526	0.6293	
 -12.0   0.1077	0.1834	0.1924	0.5513	0.6280	
 -11.0   0.1075	0.1831	0.1922	0.5502	0.6268	
 -10.0   0.1074	0.1828	0.1921	0.5491	0.6256	
  -9.0   0.1072	0.1826	0.1919	0.5481	0.6245	
  -8.0   0.1071	0.1823	0.1918	0.5470	0.6234	
  -7.0   0.1070	0.1820	0.1916	0.5461	0.6224	
  -6.0   0.1069	0.1817	0.1915	0.5451	0.6214	
  -5.0   0.1067	0.1815	0.1913	0.5442	0.6204	
  -4.0   0.1066	0.1812	0.1912	0.5432	0.6194	
  -3.0   0.1065	0.1809	0.1910	0.5423	0.6184	
  -2.0   0.1063	0.1806	0.1908	0.5415	0.6175	
  -1.0   0.1062	0.1803	0.1906	0.5406	0.6166	
   0.0   0.1060	0.1800	0.1904	0.5397	0.6157	
   1.0   0.1058	0.1797	0.1902	0.5389	0.6148	
   2.0   0.1056	0.1794	0.1899	0.5381	0.6139	
   3.0   0.1055	0.1791	0.1897	0.5373	0.6131	
   4.0   0.1053	0.1788	0.1894	0.5364	0.6122	
   5.0   0.1051	0.1784	0.1891	0.5356	0.6114	
   6.0   0.1049	0.1781	0.1888	0.5348	0.6105	
   7.0   0.1046	0.1777	0.1885	0.5341	0.6097	
