Soil code          1
Hapke_b         0.84
Hapke_c         0.68
Hapke_B0        0.30
Hapke_h         0.23
SM%              5.0
Cab_green       70.0
Cw_green       0.008
Cdm_green      0.003
Cs_green        0.05
N_green        1.500
Cab_brown        5.0
Cw_brown       0.001
Cdm_brown      0.005
Cs_brown        1.00
N_brown        2.000
LAI             1.00
LIDF a         -0.35
LIDF b         -0.15
hot             0.05
fB              0.00
D               0.80
Cv%             100.
zeta            0.50
sza             30.0
vza              0.0
azi              0.0

  WL           SOIL           LEAF green    LEAF brown          CANOPY
 (nm)   rso  rdo  rsd  rdd    refl  tran    refl  tran    rso  rdo  rsd  rdd
 950.  65.1 65.1 65.1 65.1    46.9  49.6    52.7  40.8   64.7 60.9 61.9 66.1
 960.  65.6 65.6 65.6 65.6    46.6  49.3    52.8  40.9   64.7 60.8 61.7 65.9
 970.  65.9 65.9 65.9 65.9    46.5  49.2    52.9  41.1   64.8 60.8 61.7 65.8
 980.  66.1 66.1 66.1 66.1    46.5  49.3    53.1  41.3   65.1 61.0 61.9 66.0
 990.  66.5 66.5 66.5 66.5    46.5  49.4    53.2  41.5   65.5 61.4 62.3 66.3
1000.  66.9 66.9 66.9 66.9    46.6  49.5    53.4  41.7   66.0 61.9 62.8 66.8
1010.  67.2 67.2 67.2 67.2    46.6  49.6    53.5  41.8   66.6 62.5 63.3 67.3
1020.  67.5 67.5 67.5 67.5    46.7  49.8    53.6  42.0   67.1 62.9 63.8 67.8
1030.  67.9 67.9 67.9 67.9    46.8  49.9    53.7  42.1   67.6 63.4 64.3 68.3
1040.  68.1 68.1 68.1 68.1    46.8  50.0    53.7  42.2   67.9 63.7 64.5 68.5
1050.  68.3 68.3 68.3 68.3    46.8  50.1    53.7  42.3   68.2 64.0 64.8 68.8
1060.  68.8 68.8 68.8 68.8    46.8  50.2    53.6  42.3   68.7 64.4 65.3 69.2
1070.  69.3 69.3 69.3 69.3    46.6  50.1    53.4  42.2   69.1 64.6 65.5 69.3
1080.  69.6 69.6 69.6 69.6    46.5  50.0    53.2  42.1   69.2 64.7 65.5 69.3
1090.  69.9 69.9 69.9 69.9    46.3  50.0    53.0  42.0   69.2 64.7 65.5 69.1
1100.  70.1 70.1 70.1 70.1    46.2  49.9    52.9  41.9   69.3 64.7 65.5 69.1
1110.  70.4 70.4 70.4 70.4    46.1  49.9    52.8  42.0   69.4 64.8 65.5 69.1
1120.  70.6 70.6 70.6 70.6    45.9  49.8    52.7  42.0   69.4 64.7 65.5 69.0
1130.  70.9 70.9 70.9 70.9    45.6  49.6    52.6  42.0   69.3 64.5 65.2 68.6
1140.  71.2 71.2 71.2 71.2    45.1  49.2    52.5  41.9   68.7 63.7 64.4 67.6
1150.  71.3 71.3 71.3 71.3    44.5  48.6    52.3  41.8   67.9 62.8 63.5 66.5
1160.  71.6 71.6 71.6 71.6    44.2  48.4    52.3  41.9   67.7 62.5 63.2 66.0
1170.  72.0 72.0 72.0 72.0    44.0  48.3    52.1  41.8   67.8 62.5 63.1 65.9
1180.  72.3 72.3 72.3 72.3    43.8  48.2    51.8  41.6   67.8 62.4 63.0 65.7
1190.  72.5 72.5 72.5 72.5    43.7  48.2    51.7  41.6   68.0 62.5 63.1 65.8
1200.  72.7 72.7 72.7 72.7    43.7  48.2    51.7  41.7   68.1 62.7 63.3 65.9
1210.  72.8 72.8 72.8 72.8    43.7  48.3    51.7  41.8   68.3 62.8 63.4 66.1
1220.  72.9 72.9 72.9 72.9    43.8  48.5    51.8  41.9   68.6 63.2 63.7 66.4
1230.  73.2 73.2 73.2 73.2    43.9  48.6    51.9  42.1   69.1 63.7 64.2 66.9
1240.  73.5 73.5 73.5 73.5    43.9  48.8    51.9  42.2   69.6 64.1 64.7 67.3
1250.  73.8 73.8 73.8 73.8    44.0  48.9    52.0  42.3   70.0 64.5 65.1 67.7
1260.  74.0 74.0 74.0 74.0    44.0  49.0    51.9  42.4   70.3 64.7 65.3 68.0
1270.  74.1 74.1 74.1 74.1    44.0  49.1    51.9  42.4   70.5 64.9 65.5 68.1
1280.  74.3 74.3 74.3 74.3    43.9  49.1    52.0  42.6   70.6 65.0 65.6 68.2
1290.  74.4 74.4 74.4 74.4    43.8  49.0    51.9  42.6   70.5 64.9 65.4 68.0
1300.  74.5 74.5 74.5 74.5    43.5  48.8    51.9  42.6   70.2 64.5 65.1 67.6
1310.  74.7 74.7 74.7 74.7    43.2  48.6    51.8  42.7   69.9 64.1 64.6 67.0
1320.  74.8 74.8 74.8 74.8    42.8  48.3    51.7  42.7   69.4 63.5 64.0 66.3
1330.  74.9 74.9 74.9 74.9    42.3  47.8    51.6  42.7   68.5 62.6 63.0 65.1
1340.  75.0 75.0 75.0 75.0    41.2  46.8    51.4  42.5   66.9 60.7 61.1 62.9
1350.  75.2 75.2 75.2 75.2    39.9  45.4    51.1  42.3   64.9 58.4 58.7 60.1
1360.  75.3 75.3 75.3 75.3    38.7  44.2    50.7  42.0   63.1 56.4 56.7 57.7
1370.  75.2 75.2 75.2 75.2    37.7  43.2    50.4  41.8   61.6 54.8 54.9 55.7
1380.  75.1 75.1 75.1 75.1    36.3  41.9    50.1  41.6   59.5 52.5 52.6 53.1
1390.  74.8 74.8 74.8 74.8    33.2  38.7    49.4  41.0   55.1 47.7 47.7 47.5
1400.  74.5 74.5 74.5 74.5    28.9  34.0    48.2  40.0   49.6 41.8 41.5 40.5
1410.  74.3 74.3 74.3 74.3    25.3  30.0    46.9  38.9   45.7 37.5 37.1 35.3
1420.  74.4 74.4 74.4 74.4    23.0  27.6    45.7  37.8   43.5 35.1 34.6 32.5
1430.  74.8 74.8 74.8 74.8    21.9  26.4    44.7  37.0   42.7 34.1 33.6 31.2
1440.  75.1 75.1 75.1 75.1    21.6  26.0    44.0  36.5   42.5 33.9 33.4 30.9
1450.  75.3 75.3 75.3 75.3    21.6  26.1    43.7  36.3   42.7 34.1 33.5 31.0
1460.  75.6 75.6 75.6 75.6    21.8  26.5    43.6  36.3   43.1 34.5 33.9 31.4
1470.  75.9 75.9 75.9 75.9    22.3  27.2    43.7  36.5   43.8 35.2 34.6 32.2
1480.  76.2 76.2 76.2 76.2    23.2  28.3    43.9  36.8   44.9 36.3 35.8 33.5
1490.  76.3 76.3 76.3 76.3    24.4  29.8    44.2  37.2   46.3 37.8 37.3 35.2
1500.  76.5 76.5 76.5 76.5    25.8  31.5    44.4  37.6   47.9 39.5 39.1 37.3
1510.  76.6 76.6 76.6 76.6    27.1  33.2    44.8  38.0   49.6 41.3 40.9 39.4
1520.  76.7 76.7 76.7 76.7    28.4  34.7    45.1  38.4   51.1 43.0 42.6 41.4
1530.  76.9 76.9 76.9 76.9    29.3  35.9    45.4  38.8   52.5 44.5 44.2 43.1
1540.  77.2 77.2 77.2 77.2    30.2  36.9    45.6  39.2   53.8 45.8 45.6 44.6
1550.  77.3 77.3 77.3 77.3    30.9  37.9    45.7  39.4   54.9 47.0 46.8 46.0
1560.  77.3 77.3 77.3 77.3    31.5  38.8    45.8  39.6   55.9 48.0 47.9 47.2
1570.  77.4 77.4 77.4 77.4    32.1  39.5    45.9  39.9   56.8 49.1 48.9 48.4
1580.  77.6 77.6 77.6 77.6    32.6  40.3    45.9  40.1   57.8 50.0 49.9 49.5
1590.  77.6 77.6 77.6 77.6    33.1  40.9    46.0  40.3   58.6 50.9 50.8 50.6
1600.  77.6 77.6 77.6 77.6    33.6  41.6    46.1  40.5   59.3 51.7 51.7 51.6
1610.  77.7 77.7 77.7 77.7    34.0  42.2    46.3  40.8   60.1 52.6 52.6 52.5
1620.  77.8 77.8 77.8 77.8    34.4  42.7    46.4  41.1   60.8 53.4 53.3 53.4
1630.  77.9 77.9 77.9 77.9    34.6  43.2    46.5  41.3   61.4 54.0 54.0 54.1
1640.  78.0 78.0 78.0 78.0    34.8  43.5    46.5  41.5   61.9 54.5 54.5 54.7
1650.  78.0 78.0 78.0 78.0    35.0  43.8    46.5  41.6   62.2 54.8 54.8 55.1
1660.  78.1 78.1 78.1 78.1    35.0  44.0    46.4  41.6   62.4 55.0 55.1 55.3
1670.  78.2 78.2 78.2 78.2    34.9  44.1    46.1  41.5   62.6 55.2 55.2 55.4
