2 !No of header lines including this one
YOUNG	OLD1	OLD2	
3 1201 !number of soils, number of bands
1	2	3	!soilcode
0.84	0.84	0.84	!b
0.68	0.68	0.68	!c
0.3	0.3	0.3	!bo
0.23	0.23	0.23	!h
0.0357022836667	0.0318666226333	0.0306910535667	
0.035976532	0.03216082085	0.0310077149	
0.036632526	0.03264408425	0.0316087863	
0.0363361913333	0.0325514260167	0.0315259166333	
0.0360627446667	0.0325808015333	0.0315610704667	
0.0359163176667	0.0327888024833	0.0317683484667	
0.0359937523333	0.0332423943667	0.0321886583333	
0.0359807693333	0.0336579424167	0.0325414784333	
0.0358686933333	0.0338870832667	0.0326985280333	
0.0358884016667	0.0338919310833	0.0326987222667	
0.0356949763333	0.0336883027667	0.0325499514333	
0.0357762216667	0.0336775695833	0.0325956995667	
0.0360085333333	0.0337794198667	0.0327128299333	
0.0361460423333	0.0338607175667	0.0327880716333	
0.0361391826667	0.0339760775833	0.0328639841667	
0.036119319	0.0341514775	0.0329844023	
0.03611192	0.0341744433	0.0330044814	
0.0361894536667	0.0343161943333	0.0331522622667	
0.0363298996667	0.0344689918333	0.0333473711667	
0.036476744	0.0345135322	0.033458923	
0.0367748	0.03468362965	0.033711102	
0.0369641103333	0.0348832799167	0.0339315502333	
0.0370893966667	0.0350803022833	0.0341048540667	
0.037079321	0.03515144685	0.0341494312	
0.0369756163333	0.0351614399667	0.0341198528333	
0.036888178	0.03519526445	0.0341145749	
0.0367940883333	0.0352014121667	0.0340776986333	
0.0369617356667	0.0353062761833	0.0341948938667	
0.0372299936667	0.0354530507833	0.0343641492667	
0.0375829403333	0.0357183195167	0.0346246147333	
0.0377966866667	0.0358526648833	0.0347597021667	
0.037830675	0.0358457551	0.0347239237	
0.0379179136667	0.0358452918333	0.0347108572667	
0.0381878413333	0.0359619796167	0.0348478570333	
0.038527705	0.03616890665	0.0350799265	
0.038817677	0.0364071784	0.035342563	
0.0391317206667	0.0366309631833	0.0356201316667	
0.0393366246667	0.0367682673333	0.0357733701667	
