Wavelength	Blackberry	Grass	Blueberry	Litter	Humus	Soil
483	0.035449445	0.045737896	0.042517437	0.073115926	0.022719856	0.037772712
484	0.035548301	0.045786147	0.042618322	0.073380896	0.022695294	0.037881498
485	0.035648027	0.045812694	0.042726059	0.073639854	0.022697966	0.037937908
486	0.035767637	0.045840328	0.042796644	0.073846007	0.022678919	0.037960822
487	0.035894841	0.045881423	0.04283514	0.074028584	0.022631708	0.037971285
488	0.036010087	0.045911217	0.042851817	0.074230151	0.02253709	0.038019187
489	0.036162876	0.045949614	0.04295154	0.07446515	0.022443602	0.038109399
490	0.036351488	0.0460163	0.04308933	0.074737983	0.022377172	0.038227367
491	0.036539914	0.046093006	0.043201222	0.075029155	0.022353271	0.03834116
492	0.036826301	0.046258372	0.04341456	0.075354105	0.022314134	0.038487154
493	0.037180819	0.046488534	0.043670266	0.075741791	0.022281226	0.038664533
494	0.037580687	0.046773725	0.043973889	0.076223222	0.022308211	0.038881489
495	0.03797079	0.047058671	0.044288885	0.076753021	0.022387744	0.039131537
496	0.038420891	0.047410003	0.044689322	0.077288427	0.022475505	0.039381651
497	0.038915256	0.047819452	0.045157842	0.077795608	0.022542362	0.039626509
498	0.039462578	0.048321905	0.045677761	0.078410624	0.022663347	0.039926067
499	0.040073726	0.048889167	0.046254663	0.079091209	0.022795097	0.040251986
500	0.040714182	0.049481502	0.046885533	0.079745784	0.02289673	0.04056043
501	0.041404733	0.050132083	0.047608013	0.080360538	0.022999526	0.040837714
502	0.042138677	0.050836238	0.048374401	0.080932502	0.023075292	0.04109304
503	0.042936307	0.051600901	0.049207668	0.081511287	0.023121272	0.04133216
504	0.043833695	0.052470742	0.050145855	0.082141661	0.023173213	0.04159462
505	0.044818018	0.053459923	0.051213195	0.082823261	0.02325428	0.041879228
506	0.045840429	0.054508527	0.052339845	0.083487818	0.023304736	0.042141999
507	0.046911654	0.055623174	0.053532758	0.084105239	0.023303749	0.042378002
508	0.048073924	0.056862222	0.054819097	0.084704074	0.023267728	0.042603424
509	0.049331827	0.058217441	0.056226393	0.085303596	0.023226014	0.042819595
510	0.05069426	0.059704634	0.057763298	0.085948776	0.023205436	0.043072022
511	0.052150652	0.061311415	0.059391375	0.086629977	0.023207048	0.043363632
512	0.053695798	0.06303703	0.061131459	0.08732061	0.023241234	0.043667758
513	0.055340002	0.064874879	0.062989123	0.087997001	0.023290563	0.043977828
514	0.057096892	0.066839204	0.064975839	0.088679006	0.023332558	0.044281751
515	0.058932518	0.068899627	0.067066655	0.089361093	0.023357718	0.044588231
